Datos que encuentra el metodo de Rungecuta(variable ind.	 variable dep.	 numero de thread)
0.035123	 0.842801 	 numero de thread:0
0.035186	 0.842905 	 numero de thread:0
0.035249	 0.843009 	 numero de thread:0
0.035312	 0.843113 	 numero de thread:0
0.035374	 0.843217 	 numero de thread:0
0.035437	 0.843321 	 numero de thread:0
0.035500	 0.843424 	 numero de thread:0
0.035563	 0.843528 	 numero de thread:0
0.035626	 0.843632 	 numero de thread:0
0.035688	 0.843736 	 numero de thread:0
0.035751	 0.843840 	 numero de thread:0
0.035814	 0.843944 	 numero de thread:0
0.035877	 0.844048 	 numero de thread:0
0.035940	 0.844151 	 numero de thread:0
0.036003	 0.844255 	 numero de thread:0
0.036065	 0.844359 	 numero de thread:0
0.036128	 0.844463 	 numero de thread:0
0.036191	 0.844567 	 numero de thread:0
0.036254	 0.844671 	 numero de thread:0
0.036317	 0.844775 	 numero de thread:0
0.036380	 0.844879 	 numero de thread:0
0.036442	 0.844983 	 numero de thread:0
0.036505	 0.845086 	 numero de thread:0
0.036568	 0.845190 	 numero de thread:0
0.036631	 0.845294 	 numero de thread:0
0.036694	 0.845398 	 numero de thread:0
0.036757	 0.845502 	 numero de thread:0
0.036819	 0.845606 	 numero de thread:0
0.036882	 0.845710 	 numero de thread:0
0.036945	 0.845814 	 numero de thread:0
0.037008	 0.845918 	 numero de thread:0
0.037071	 0.846022 	 numero de thread:0
0.037134	 0.846126 	 numero de thread:0
0.037196	 0.846230 	 numero de thread:0
0.037259	 0.846334 	 numero de thread:0
0.037322	 0.846438 	 numero de thread:0
0.037385	 0.846542 	 numero de thread:0
0.037448	 0.846646 	 numero de thread:0
0.037511	 0.846750 	 numero de thread:0
0.037573	 0.846854 	 numero de thread:0
0.037636	 0.846958 	 numero de thread:0
0.037699	 0.847062 	 numero de thread:0
0.037762	 0.847166 	 numero de thread:0
0.037825	 0.847270 	 numero de thread:0
0.037888	 0.847374 	 numero de thread:0
0.037950	 0.847478 	 numero de thread:0
0.038013	 0.847582 	 numero de thread:0
0.038076	 0.847686 	 numero de thread:0
0.038139	 0.847790 	 numero de thread:0
0.038202	 0.847894 	 numero de thread:0
0.038265	 0.847998 	 numero de thread:0
0.038327	 0.848102 	 numero de thread:0
0.038390	 0.848206 	 numero de thread:0
0.038453	 0.848310 	 numero de thread:0
0.038516	 0.848414 	 numero de thread:0
0.038579	 0.848518 	 numero de thread:0
0.038642	 0.848622 	 numero de thread:0
0.038704	 0.848726 	 numero de thread:0
0.038767	 0.848830 	 numero de thread:0
0.038830	 0.848934 	 numero de thread:0
0.038893	 0.849038 	 numero de thread:0
0.038956	 0.849142 	 numero de thread:0
0.039019	 0.849246 	 numero de thread:0
0.039081	 0.849350 	 numero de thread:0
0.039144	 0.849454 	 numero de thread:0
0.039207	 0.849559 	 numero de thread:0
0.039270	 0.849663 	 numero de thread:0
0.039333	 0.849767 	 numero de thread:0
0.039396	 0.849871 	 numero de thread:0
0.039458	 0.849975 	 numero de thread:0
0.039521	 0.850079 	 numero de thread:0
0.039584	 0.850183 	 numero de thread:0
0.039647	 0.850287 	 numero de thread:0
0.039710	 0.850391 	 numero de thread:0
0.039773	 0.850496 	 numero de thread:0
0.039835	 0.850600 	 numero de thread:0
0.039898	 0.850704 	 numero de thread:0
0.039961	 0.850808 	 numero de thread:0
0.040024	 0.850912 	 numero de thread:0
0.040087	 0.851016 	 numero de thread:0
0.040150	 0.851120 	 numero de thread:0
0.040212	 0.851225 	 numero de thread:0
